Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Wissam Ben Yedder,Toulouse,28,"AM(C),FW",34(2),2874,3,1.5,26.4,70.5,0.9,0.4,0.1,6.86
Uros Spajic,Toulouse,26,D(C),17,1478,-,0.1,27.7,71.5,-,3.8,-,6.86
Jamel Saihi,Montpellier,32,M(C),20(1),1470,-,0.5,39.9,80.3,0.2,1.7,-,6.86
Koffi Djidji,Nantes,26,D(CL),4(1),361,-,-,29.8,79.9,-,2,-,6.86
Sébastien Corchia,Lille,28,"D(R),M(R)",29(2),2505,1,0.9,21.6,72.7,1.3,0.8,-,6.86
Steeve Yago,Toulouse,26,D(CR),12(2),1134,-,0.1,30.1,81.5,-,2.1,-,6.85
Kévin Lejeune,Metz,34,M(LR),27(5),2320,3,1.1,24.6,67.9,1,1,-,6.85
Modibo Maiga,Metz,31,FW,19(6),1762,-,1,20.8,70.4,0.1,0.5,-,6.85
Andrea Raggi,Monaco,35,D(CLR),27,2379,1,0.2,39.3,79.5,0.1,3.3,-,6.85
Yann Bodiger,Toulouse,24,DMC,10,900,1,0.4,53.8,78.3,-,2.8,0.1,6.85
Moustapha Diallo,Guingamp,33,M(C),20(12),1806,1,0.3,23.9,71.5,-,0.8,-,6.84
Romain Danzé,Rennes,32,"D(R),M(CR)",29(2),2662,2,0.6,45.5,78.4,0.5,2.9,-,6.84
Grégory Sertic,Bordeaux,29,"D(C),M(C)",24(3),2095,-,0.6,51.5,86.5,0.5,4.7,-,6.84
Abel Aguilar,Toulouse,34,M(C),18(3),1660,1,0.4,46.6,79.1,-,2.8,-,6.84
Yohan Mollo,Saint-Etienne,29,"M(CLR),FW",12(11),1147,1,1.5,18.3,74.4,1.5,1.1,-,6.84
Georges-Kévin Nkoudou,Nantes,24,AM(LR),16(12),1606,1,0.5,15.2,80.9,0.3,0.3,-,6.84
Maxime Poundjé,Bordeaux,26,D(L),12,962,1,0.5,29.7,80.9,0.7,0.5,-,6.83
Benjamin Angoua,Guingamp,32,D(CR),16(5),1535,-,-,25.7,81.1,-,1.7,-,6.83
Ezequiel Lavezzi,Paris Saint-Germain,34,"AM(CLR),FW",19(11),1622,2,1,20.7,86,0.6,0.6,0.1,6.83
Antoine Conte,Reims,25,D(CR),29,2536,-,0.2,38.8,84.5,0.1,2.4,-,6.83
Jérémy Choplin,Metz,34,D(C),20(1),1808,-,0.1,29,72.3,-,3.5,-,6.83
Yoann Gourcuff,Lyon,32,M(CL),8(9),774,4,1.2,23.9,85.2,0.5,1.1,0.2,6.83
Vincent Le Goff,Lorient,29,D(L),25(3),2296,1,0.6,43.5,79.4,0.3,2.6,-,6.82
Sylvain Marchal,Metz,39,D(C),15(2),1258,-,0.2,23.7,73.9,0.1,2.2,-,6.82
Clinton N'Jie,Lyon,25,"AM(L),FW",15(15),1521,7,0.8,14.4,78,0.1,0.2,-,6.82
Rio Mavuba,Lille,35,M(C),30,2605,-,0.4,54.9,85.1,0.1,3.6,-,6.82
Floyd Ayité,SC Bastia,30,"M(CLR),FW",26(4),2334,2,0.9,22,76.2,0.3,0.6,0.1,6.82
François Moubandje,Toulouse,29,D(CL),30(1),2702,2,0.5,38.6,73.1,0.5,2.7,-,6.82
Kassim Abdallah,Evian Thonon Gaillard,32,D(R),29(1),2582,3,0.4,27.5,67.5,0.6,1.5,0.1,6.82
Ryad Boudebouz,SC Bastia,29,"M(CLR),FW",32(2),2827,3,1.5,44.7,77.2,1.2,3.9,0.1,6.82
Felipe Saad,Caen,35,D(CL),7(3),704,-,0.1,28.6,78,-,2.2,-,6.82
Simon Pouplin,Nice,34,GK,8,691,-,-,18.4,30.6,-,3.8,-,6.82
Alphonse Areola,SC Bastia,26,GK,35,3150,-,-,26.2,52,-,7.3,-,6.81
