Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Roque Santa Cruz,Real Betis,37,FW,20(13),1960,7,1,1.2,0.8,0.5,0.8,0.2,1.3,1.1,6.89
Julio Baptista,Malaga,37,"AM(C),FW",4,328,1,1,3,1,0.8,3,-,2,3,6.88
Nunes,Mallorca,42,D(C),11(3),1016,2,-,0.5,-,-,0.4,0.1,-,0.1,6.88
Francisco Puñal,Osasuna,43,M(C),35,3063,-,1,0.5,0.9,0.1,0.8,-,1,0.4,6.88
Álvaro González,Racing Santander,29,D(C),34,3031,1,-,0.3,0.2,0.1,0.8,-,0.2,0.5,6.88
Mario Suárez,Atletico Madrid,32,M(C),23(5),1974,-,-,0.7,0.3,0.5,0.9,0.1,0.8,0.5,6.88
Vadim Demidov,Real Sociedad,32,D(C),20(3),1836,-,1,0.2,0.1,0.6,0.8,-,0.2,0.1,6.88
Moisés Hurtado,Granada,38,"D(C),M(CR)",15(2),1261,-,-,0.4,0.5,0.1,0.4,0.1,0.5,0.1,6.88
Pau Cendrós,Mallorca,32,D(R),19(6),1793,-,-,0.2,0.2,-,0.4,-,0.4,0.5,6.87
Roberto Trashorras,Rayo Vallecano,38,M(C),18(11),1674,2,4,1.4,2.2,0.5,2.1,-,1.7,0.7,6.87
