Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Yassine Benzia,Lille,24,"AM(CLR),FW",21(4),1641,3,3,1.4,1.4,1.3,2,0.1,2.2,1.8,6.85
Youssouf Kone,Lille,23,D(L),2,180,-,-,0.5,0.5,1,0.5,-,2,1.5,6.85
Adama Traoré II,Monaco,24,AM(C),4(1),281,2,-,1.2,0.2,0.4,1.4,-,0.6,2.4,6.85
Yoan Cardinale,Nice,25,GK,36,3206,-,-,-,-,0.1,0.2,-,-,-,6.85
André-Frank Zambo Anguissa,Marseille,23,DMC,11(10),1180,-,1,0.5,0.5,1.1,0.7,-,1.4,0.8,6.84
Nabil Dirar,Monaco,33,"D(R),M(CR)",8(10),865,1,3,0.7,1.3,1.4,0.4,-,1.2,1.2,6.84
Wesley Lautoa,Lorient,31,"D(C),DMC",18(3),1514,1,-,0.3,0.1,0.3,1.2,-,0.7,0.6,6.84
Andy Delort,Toulouse,27,"AM(R),FW",15,1227,5,-,2.7,0.3,1,1.4,0.5,1.7,3,6.84
Jérémy Sorbon,Guingamp,35,D(C),33,2946,1,-,0.3,0.1,0.5,0.6,-,0.1,0.3,6.84
Jean-Louis Leca,SC Bastia,33,GK,33,2927,-,-,-,-,-,0.3,-,-,0.1,6.83
Dorian Lévêque,Guingamp,29,D(LR),2,166,-,-,0.5,-,-,2.5,-,0.5,1,6.83
Julian Palmieri,Lille,32,"D(L),M(L)",16(6),1510,1,2,0.1,0.7,1.4,1,-,1.1,0.7,6.83
Gaetan Laborde,Bordeaux,25,"AM(C),FW",21(15),2027,6,5,1.5,0.8,1,0.7,0.3,1.7,1.7,6.83
Mehdi Tahrat,Angers,29,DMC,3(4),295,-,-,0.7,-,0.7,1,-,-,0.6,6.83
Simon Falette,Metz,27,D(C),35,3090,3,1,0.7,0.3,0.4,0.9,-,0.2,0.5,6.83
Frederic Sammaritano,Dijon,33,AM(LR),23(8),1902,4,4,1.5,1.7,0.9,1,0.1,1.5,0.9,6.82
Kévin Théophile-Catherine,Saint-Etienne,29,D(CLR),30(1),2729,-,2,0.1,0.3,0.3,0.6,0.1,0.4,0.4,6.82
Grégory Bourillon,Angers,34,"D(C),DMC",4(1),345,1,-,1,-,-,0.2,-,-,0.2,6.82
Benjamin Angoua,Guingamp,32,D(CR),6(1),538,-,1,-,0.1,0.3,0.6,-,-,0.1,6.82
François Kamano,Bordeaux,23,"AM(LR),FW",17(13),1688,6,4,2.2,0.6,1.4,1.1,0.3,1.4,1.8,6.81
Younès Belhanda,Nice,29,M(CL),28(3),2541,3,6,1.1,1.4,1,1.3,0.2,2.1,2,6.81
Cedric Varrault,Dijon,39,D(C),32,2796,3,-,0.7,0.1,0.3,1.3,-,0.3,0.4,6.81
Baptiste Santamaría,Angers,24,DMC,35(2),3076,-,-,0.9,0.3,0.6,1.4,-,0.9,1.3,6.81
Syam Ben Youssef,Caen,30,D(C),14(3),1291,-,-,0.3,0.1,0.1,0.3,0.1,0.2,0.4,6.81
Faitout Maouassa,Nancy,20,"D(L),M(L)",13(1),1044,3,3,1.8,0.6,1.1,1,0.3,1,1.6,6.81
Marcus Coco,Guingamp,23,"AM(LR),FW",31(3),2629,4,2,1,1,1.4,1.2,0.4,1.8,2.7,6.81
