Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Marco Borriello,Roma,37,FW,25(9),2289,0.5,0.2,1.7,-,0.4,0.3,0.1,-,6.87
Dorin Goian,Palermo,38,D(C),12(4),1152,2.3,2.3,1.2,0.9,6.9,0.7,0.6,-,6.87
Stefan Radu,Lazio,32,D(CL),26,2267,1.6,2.3,0.7,0.1,3.1,0.3,0.3,-,6.86
Luciano Zauri,Sampdoria,41,D(CLR),26(1),2277,1.2,2.4,0.8,0.4,5.9,0.5,0.7,-,6.86
Gaby Mudingayi,Bologna,37,M(C),32,2693,3.3,2,2.3,-,1.8,0.7,0.3,-,6.86
Emanuele Giaccherini,Cesena,34,M(CLR),34(2),2910,1,1.4,0.6,-,0.6,0.6,-,-,6.86
Emilson Cribari,Napoli,39,"D(L),M(L)",6(3),617,1.4,2.1,0.4,1,6.4,0.2,0.3,-,6.86
Emiliano Viviano,Bologna,33,GK,38,3406,-,-,-,-,0.8,-,-,-,6.86
Davide Mandelli,Chievo,42,"D(CL),DMC",16(4),1570,0.7,1,0.9,1.4,10,0.8,0.7,-,6.85
Marco Motta,Juventus,33,"D(R),M(R)",19(3),1522,1.1,2.4,1.4,0.1,2.6,0.5,0.5,1,6.85
Alessio Cerci,Fiorentina,31,"M(R),FW",17(7),1380,0.9,0.3,1.2,-,0.3,0.5,0.1,-,6.85
Marco Di Vaio,Bologna,42,FW,38,3415,0.4,0.3,0.6,-,0.9,0.1,0.1,-,6.85
Michele Arcari,Brescia,41,GK,22,1980,-,-,-,-,1.1,-,-,-,6.85
Pablo Ledesma,Catania,35,M(C),25(7),2258,2.9,1.3,2,-,1.6,1.3,0.2,-,6.84
Nenê,Cagliari,35,FW,18(9),1636,1,1.1,2.3,-,1,0.3,0.2,-,6.84
Steve Von Bergen,Cesena,36,D(C),34,3043,2.2,1.8,0.6,1.5,6.8,0.4,0.7,-,6.84
Adrián Ricchiuti,Catania,41,"D(C),M(C),FW",19(12),1800,1.4,0.6,1.1,-,0.1,0.3,0.1,-,6.84
Guillermo Giacomazzi,Lecce,41,"D(C),M(C)",30(2),2597,3.2,2.1,1.9,0.2,2.3,1.2,0.2,-,6.84
Artur Boruc,Fiorentina,39,GK,26,2340,-,-,-,-,0.7,-,-,-,6.84
Ezequiel Carboni,Catania,40,"D(C),DMC",24(4),2027,3,2,1.4,-,2.3,1.1,0.1,-,6.84
Frederik Sörensen,Juventus,27,D(CR),12(5),1138,3.8,1.6,1.4,0.2,4.5,1.8,0.1,-,6.83
Fabio Simplicio,Roma,39,"D(C),M(C),FW",18(6),1618,2.1,1.3,1.2,-,0.6,0.7,0.1,-,6.83
Víctor Ruiz,Napoli,30,D(C),6,540,1.5,3.5,1.3,0.7,5.3,0.5,0.5,-,6.83
Matuzalém,Lazio,39,M(C),18(4),1707,2.5,1.2,2,-,1.1,0.7,0.1,-,6.83
Alejandro Gómez,Catania,31,"M(CL),FW",30(6),2567,1.2,1.1,0.9,-,0.3,0.7,-,-,6.83
Antonio Rosati,Lecce,36,GK,37(1),3366,-,-,-,-,0.9,0.1,-,-,6.83
Fernando Tissone,Sampdoria,32,M(C),20(2),1556,3.4,1.9,1.5,-,1.4,0.8,0.3,-,6.83
