Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Matthieu Delpierre,Hoffenheim,38,D(C),22(1),1925,1,0.2,37.2,81.8,0.1,4.9,-,6.92
Stelios Malezas,Fortuna Duesseldorf,34,D(C),21,1885,-,0.1,33.9,80,-,4.6,-,6.91
Martin Harnik,VfB Stuttgart,32,"M(LR),FW",29(1),2511,4,0.8,23.6,65.6,0.2,1.2,0.1,6.91
Michael Parkhurst,Augsburg,35,D(CLR),1(1),137,-,0.5,46.5,89.2,0.5,1.5,-,6.91
Jan Morávek,Augsburg,29,M(C),16(5),1294,2,1,26.6,82.6,-,1.2,0.2,6.91
Julian Schuster,Freiburg,34,"D(C),M(C)",31,2688,3,1,62.8,82.8,0.4,4,-,6.90
Patrick Herrmann,Borussia M.Gladbach,28,"M(LR),FW",30(2),2505,5,1,22.6,74.6,0.4,0.4,0.1,6.90
Claudio Pizarro,Bayern Munich,40,"AM(C),FW",7(13),769,7,0.8,15.5,81.2,0.1,0.9,0.2,6.90
Oliver Baumann,Freiburg,29,GK,34,3060,-,-,35.5,61.5,-,12.9,-,6.90
Rafinha,Bayern Munich,33,"D(CLR),M(R)",6(7),585,1,0.4,36.9,89.6,0.5,2.9,-,6.90
Sebastian Jung,Eintracht Frankfurt,29,D(R),32,2839,1,0.8,42.4,77.9,0.9,2.1,0.1,6.89
Sercan Sararer,Greuther Fuerth,29,"AM(CLR),FW",21(1),1787,-,0.8,21.3,78.3,0.7,0.5,0.1,6.89
Slobodan Rajkovic,Hamburger SV,30,D(C),6(7),648,-,0.2,29.2,71.2,-,2.5,0.1,6.89
Didier Ya Konan,Hannover 96,35,"M(R),FW",21(7),1991,2,0.7,22.5,73.3,0.4,0.9,-,6.89
Tobias Werner,Augsburg,33,AM(L),29(1),2223,5,1.5,20.3,63.8,1.5,1,0.1,6.89
Takashi Usami,Hoffenheim,27,AM(LR),15(5),1270,-,1.1,19.6,76,0.6,0.9,0.1,6.89
Ivica Olic,Wolfsburg,39,"AM(LR),FW",28(4),2433,6,0.8,18.2,71.9,0.5,0.3,-,6.89
Bernd Leno,Bayer Leverkusen,27,GK,32,2880,1,-,26,65.8,-,9,-,6.88
Abdul Rahman Baba,Greuther Fuerth,24,"D(L),M(L)",18(2),1632,-,0.5,27.7,69.3,0.5,1.9,-,6.88
Eugen Polanski,Mainz 05,33,M(C),9(3),719,3,0.5,30.3,79.6,0.3,1.7,-,6.88
William Kvist,VfB Stuttgart,34,DMC,21(2),1864,-,0.4,43.3,81.3,0.1,4.7,-,6.88
Sergio da Silva Pinto,Hannover 96,38,M(C),28(2),2457,1,0.7,44.1,80.4,0.2,4.5,-,6.88
Oka Nikolov,Eintracht Frankfurt,45,GK,8,696,-,-,29.5,58.5,-,9.8,-,6.88
