Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Michael Pereira,Mallorca,31,M(LR),24(11),2307,1,1.5,0.9,0.1,0.3,0.2,0.1,-,6.86
Rubén Martínez,Malaga,35,GK,7,630,-,-,-,-,1,0.1,-,-,6.86
Juanito,Malaga,39,"D(C),M(CR)",5(1),470,2.8,3,2,-,2.3,1.2,0.5,-,6.86
Alberto de la Bella,Real Sociedad,33,D(L),28(2),2529,2.1,2.9,1.4,0.2,2.2,0.8,0.4,-,6.86
Juan Rodríguez,Deportivo La Coruna,37,M(C),29(2),2571,1.9,2.8,1.5,-,1.2,0.9,0.3,-,6.86
Nélson Haedo Valdez,Hercules,35,"AM(R),FW",22(3),1832,0.7,1.3,1.3,-,0.3,0.6,-,-,6.85
Abraham Paz,Hercules,40,D(L),29,2429,1,3,1.3,0.8,4.9,0.2,0.7,-,6.85
Manu del Moral,Getafe,35,"M(CLR),FW",28(2),2428,0.7,0.9,0.8,-,0.6,0.3,0.1,1,6.85
Manuel Fernandes,Valencia,33,M(CL),5(2),481,1.7,2.3,1.4,-,0.3,0.6,0.1,-,6.85
Manu,Deportivo La Coruna,33,GK,6,540,-,-,-,-,1,-,-,-,6.85
Ramón Arcas,Racing Santander,28,Midfielder,1,80,3,2,3,-,3,2,-,-,6.85
Gonzalo Castro,Mallorca,34,"AM(LR),FW",25(8),2202,1.3,0.9,1.1,-,0.1,0.4,-,-,6.85
Hedwiges Maduro,Valencia,34,DMC,17(1),1481,1.9,2.2,1.5,0.6,1.9,0.7,0.3,-,6.85
Alexandros Tziolis,Racing Santander,34,M(C),8(2),729,2,2.8,1.4,-,1.5,0.9,0.4,-,6.84
Julien Escudé,Sevilla,39,"D(C),DMC",27(1),2434,1.6,2.4,0.8,1,4.2,0.4,0.3,-,6.84
Ezequiel Garay,Real Madrid,32,D(C),4(1),337,1.6,2.4,0.4,-,5,0.4,0.6,-,6.84
Álvaro González,Racing Santander,29,D(C),3,262,0.3,3.3,1.3,0.7,7,-,0.3,-,6.84
