Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Bram van Polen,PEC Zwolle,33,D(CLR),29,2610,2,1.3,1.5,0.5,3,0.9,0.3,-,6.86
Kik Pierie,SC Heerenveen,18,D(CL),31,2555,1.9,1.9,1.3,0.5,4.4,0.8,0.6,-,6.86
Lucas Schoofs,NAC Breda,22,Midfielder,4(1),394,2.2,1.6,0.6,-,3,2.6,0.4,-,6.85
Sean Klaiber,FC Utrecht,24,"D(R),M(CR)",32(1),2875,2.2,1.5,1.3,0.2,1.9,1.1,0.4,-,6.85
Pablo Marí,NAC Breda,25,D(C),30(1),2673,1.1,1.2,1.1,0.5,5.5,0.5,1.1,1,6.84
Pantelis Hatzidiakos,AZ Alkmaar,22,D(C),24(2),2113,1.7,1.4,0.8,0.8,3.5,0.6,0.8,-,6.84
Ryan Koolwijk,Excelsior,33,M(C),28,2429,2.5,1.6,2,0.1,1.8,1.2,0.1,-,6.84
Noussair Mazraoui,Ajax,21,D(R),3(5),291,1.6,1.4,0.5,-,0.8,0.4,0.3,-,6.84
Maximilian Wöber,Ajax,21,D(CL),16(6),1230,1.1,1.2,0.6,0.3,2.3,0.3,0.3,-,6.84
Bram Castro,Heracles,36,GK,34,3060,0.1,-,-,-,0.4,0.1,-,1,6.83
Thomas Bruns,Vitesse,27,AM(CL),21(8),1939,1.9,0.9,1.2,-,0.4,1.2,0.3,-,6.83
Shaquille Pinas,ADO Den Haag,21,D(C),3(2),315,2.2,2.2,1.4,0.4,3.2,0.4,0.2,-,6.83
Tyronne Ebuehi,ADO Den Haag,23,D(LR),28,2375,2.2,1.2,0.6,0.5,1.9,0.6,0.3,-,6.83
Michael Maria,Twente,24,D(L),5(1),454,1.5,0.8,1.5,-,2,0.5,0.2,-,6.83
Oussama Idrissi,FC Groningen,23,AM(LR),10(5),919,0.6,0.5,0.8,-,0.3,0.9,-,-,6.83
