Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Sporting Gijon,Rachid Aït-Atmane,3,83,233,0,0,6.58
Leganes,Tito,11,68,400,3,1,6.57
Osasuna,Mario Fernández,0,45,72,0,0,6.57
Deportivo La Coruna,Gaël Kakuta,5,63,110,1,1,6.57
Deportivo La Coruna,Marlos Moreno,10,79,131,0,0,6.56
Granada,Ezequiel Ponce,9,68,180,0,0,6.56
Celta Vigo,Theo Bongonda,20,78,467,3,4,6.56
Leganes,Darwin Machís,10,70,160,3,1,6.56
Real Sociedad,Markel Bergara,1,76,93,0,0,6.56
Osasuna,Álex Berenguer,27,66,383,6,4,6.56
Osasuna,Miguel Olavide,3,78,107,0,1,6.56
Espanyol,Felipe Caicedo,5,77,182,1,1,6.56
Real Betis,Darko Brašanac,16,76,417,1,1,6.55
Villarreal,Leonardo Suárez,0,87,13,0,0,6.55
Sporting Gijon,Xavi Torres,3,76,234,0,0,6.55
Osasuna,Emmanuel Rivière,4,70,151,1,0,6.55
Deportivo La Coruna,Bruno Gama,20,81,334,0,1,6.55
Osasuna,Raoul Loé,3,77,169,0,0,6.54
Deportivo Alaves,Édgar Méndez,19,65,236,1,1,6.54
Villarreal,Alfred N'Diaye,1,65,24,1,0,6.53
Osasuna,Aitor Buñuel,11,68,217,0,1,6.53
Osasuna,Jaime Romero,16,73,208,4,3,6.53
Osasuna,Nikola Vujadinović,2,72,145,0,0,6.53
Deportivo La Coruna,Laure,2,70,104,0,0,6.53
Sporting Gijon,Lillo Castellano,8,72,624,0,0,6.53
Real Betis,Roman Zozulya,3,71,34,0,0,6.50
Celta Vigo,David Costas,1,84,49,1,0,6.50
Espanyol,Rubén Duarte,0,55,12,0,0,6.50
Celta Vigo,Andrew Hjulsager,6,70,57,0,1,6.50
