Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Las Palmas,David Simón,78,2,59,12,1,6.63
Real Betis,Didier Digard,72,0,9,1,0,6.63
Eibar,Takashi Inui,75,3,31,17,3,6.63
Sevilla,Beto,67,0,0,0,0,6.63
Sporting Gijon,Juan Muñiz,81,0,0,3,0,6.63
Levante,Víctor Camarasa,85,3,44,17,2,6.62
Levante,Pedro López,76,0,28,16,1,6.62
Levante,Ivan Lopez,69,0,32,16,0,6.62
Athletic Bilbao,Gorka Elustondo,82,0,10,2,1,6.62
Valencia,André Gomes,81,3,34,52,3,6.62
Granada,Isaac Success,65,2,30,66,6,6.61
Rayo Vallecano,Antonio Amaya,75,0,17,4,1,6.61
Las Palmas,Nauzet Aleman,77,0,3,1,0,6.61
Celta Vigo,Theo Bongonda,76,1,19,28,2,6.61
Sevilla,Coke,73,1,39,17,1,6.61
Espanyol,José Alberto Cañas,84,0,14,0,0,6.61
Sporting Gijon,Jony,67,7,37,54,5,6.60
Granada,Uche Agbo,85,0,10,1,0,6.60
Getafe,Karim Yoda,77,0,23,51,0,6.60
Deportivo La Coruna,Manuel Pablo,83,0,2,0,0,6.60
Real Madrid,Marcos Llorente,95,0,0,0,0,6.60
Malaga,Hachim Mastour,50,0,1,0,0,6.60
Real Betis,Rafael van der Vaart,75,0,4,0,0,6.60
Sporting Gijon,Alberto Guitian,58,0,2,0,0,6.60
Valencia,Sito,80,0,2,1,0,6.60
Sporting Gijon,Alex Barrera,72,0,4,0,0,6.60
Eibar,Lillo Castellano,75,0,5,1,0,6.60
Levante,Roger,59,0,9,6,0,6.60
Eibar,Ion Ansotegi,68,0,6,0,0,6.60
Deportivo La Coruna,Laure,74,0,40,3,0,6.60
Getafe,Álvaro Medrán,81,1,18,11,2,6.59
Real Betis,Francisco Portillo,84,0,12,18,0,6.59
Celta Vigo,Rubén Blanco,51,0,0,0,0,6.59
Rayo Vallecano,Raúl Baena,78,1,39,6,1,6.59
Las Palmas,Juan Carlos Valerón,88,0,2,5,0,6.58
Getafe,Emiliano Buendia,82,0,41,12,1,6.58
Espanyol,Hernán Pérez,71,1,42,72,7,6.58
Getafe,Wanderson,80,0,17,29,0,6.58
Celta Vigo,Borja Fernández,73,0,2,3,0,6.58
Villarreal,Samu Castillejo,71,1,26,37,1,6.57
Granada,David Barral,85,0,4,1,0,6.57
Malaga,Juanpi Añor,77,1,23,34,4,6.57
Real Betis,Leandro Damião,68,0,2,0,0,6.57
Atletico Madrid,Matías Kranevitter,77,0,10,0,0,6.56
Sevilla,Juan Muñoz,71,0,4,2,1,6.56
Espanyol,Mamadou Sylla,73,0,4,5,0,6.56
Barcelona,Sandro Ramírez,83,1,2,3,0,6.56
Valencia,Pablo Piatti,74,0,25,12,0,6.55
Las Palmas,Nabil El Zhar,81,4,27,14,2,6.55
Rayo Vallecano,Adrian Embarba,71,5,44,24,2,6.55
Real Sociedad,Héctor Hernández,75,1,8,3,0,6.54
Rayo Vallecano,Nacho Martinez,73,0,44,2,0,6.54
Levante,Rubén Martínez,49,0,0,0,0,6.54
Celta Vigo,Pape Cheikh,92,0,4,2,0,6.54
Granada,Dimitri Foulquier,71,1,38,20,1,6.54
Levante,Angel Trujillo,77,0,10,1,0,6.54
Rayo Vallecano,Manuel Iturra,81,0,11,1,0,6.53
Malaga,Ikechukwu Uche,78,0,0,0,0,6.53
Levante,Toño,72,1,42,47,0,6.53
Real Betis,Foued Kadir,79,0,9,4,0,6.53
Deportivo La Coruna,Jonathan Rodriguez,72,0,8,5,0,6.53
Athletic Bilbao,Borja Viguera,73,0,1,4,0,6.52
Getafe,Carlos Vigaray,78,0,38,8,1,6.52
Deportivo La Coruna,Juan Dominguez,78,0,8,1,0,6.52
Sporting Gijon,Pablo Pérez,63,1,20,4,0,6.52
Real Betis,Xavi Torres,76,0,6,2,0,6.52
Espanyol,Paco Montañés,71,0,8,2,0,6.51
Celta Vigo,Claudio Beauvue,68,0,11,6,1,6.51
Malaga,Ricardo Horta,78,0,14,7,0,6.50
