Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Stade Rennais,Diafra Sakho,58,0,2,3,0,6.70
Caen,Claudio Beauvue,67,0,18,10,3,6.70
Amiens,Bakaye Dibassy,77,1,38,16,1,6.69
Caen,Prince Oniangué,84,0,60,2,2,6.69
Ogc Nice,Myziane Maolida,82,3,12,19,0,6.69
Angers,Vincent Pajot,85,0,18,1,0,6.69
As Monaco,Benoît Badiashile,90,0,25,1,1,6.69
Guingamp,Mehdi Merghem,77,1,25,17,0,6.69
Bordeaux,Josh Maja,78,0,2,1,1,6.68
Amiens,Khaled Adenon,86,0,31,1,0,6.68
Caen,Yacine Bammou,76,0,14,3,2,6.68
Toulouse,Kelvin Amian,78,1,68,24,0,6.68
As Monaco,Carlos Vinícius,57,1,4,10,2,6.68
Ogc Nice,Danilo,86,0,30,33,0,6.68
Guingamp,Marc-Aurele Caillard,51,0,0,0,0,6.68
Stade Rennais,Mehdi Zeffane,83,0,19,4,1,6.68
Olympique De Marseille,Steve Mandanda,66,0,0,0,0,6.67
Stade Rennais,Jeremy Gelin,87,0,30,6,0,6.67
Stade De Reims,Boulaye Dia,68,0,12,17,3,6.67
Saint Etienne,Loïs Diony,67,1,17,15,5,6.67
Caen,Enzo Crivelli,65,1,20,12,6,6.67
Guingamp,Ludovic Blas,77,6,62,57,1,6.67
As Monaco,William Vainqueur,91,0,6,2,0,6.67
Stade Rennais,Jakob Johansson,87,0,17,4,1,6.67
As Monaco,Kévin N'Doram,89,0,5,0,0,6.67
Guingamp,Yeni N'Gbakoto,64,0,9,2,1,6.67
Angers,Théo Pellenard,83,0,11,8,0,6.67
Fc Nantes,Andrei Girotto,79,0,57,2,2,6.67
Lille Osc,Thiago Maia,83,1,32,4,0,6.66
Lille Osc,Jérémy Pied,78,2,12,2,0,6.66
Amiens,Juan Otero,75,2,29,37,2,6.66
Olympique De Marseille,Konstantinos Mitroglou,73,0,0,1,3,6.66
Guingamp,Christophe Kerbrat,78,0,41,3,0,6.66
Dijon,Florent Balmont,84,1,29,4,0,6.66
Paris Saint Germain,Colin Dagba,93,2,24,10,0,6.66
Montpellier,Salomon Sambia,81,1,15,30,0,6.66
Guingamp,Étienne Didot,78,1,41,4,1,6.66
Stade Rennais,Tomáš Koubek,64,0,0,1,0,6.66
Guingamp,Alexandre Mendy,72,0,5,4,3,6.66
