Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Vitesse,Arshak Koryan,100,0,2,1,0,6.63
Go Ahead Eagles,Tom Daemen,68,0,2,0,0,6.63
Go Ahead Eagles,Lars Lambooij,80,0,17,2,0,6.63
Pec Zwolle,Anass Achahbar,75,2,3,12,0,6.63
Go Ahead Eagles,Ludcinio Marengo,71,2,19,13,1,6.63
Willem Ii Tilburg,Dries Wuytens,86,0,17,0,0,6.63
Nec Nijmegen,Lorenzo Burnet,72,1,13,6,0,6.62
Ado Den Haag,Kevin Jansen,80,0,10,4,1,6.62
Go Ahead Eagles,Joey Groenbast,77,1,70,21,0,6.61
Sparta Rotterdam,Florian Pinteaux,78,0,14,1,0,6.60
Willem Ii Tilburg,Bartholomew Ogbeche,67,0,8,3,1,6.60
Psv Eindhoven,Ramon-Pascal Lundqvist,100,0,0,0,0,6.60
Fc Twente,Torgeir Børven,100,0,0,0,0,6.60
Vitesse,Abiola Dauda,40,0,1,0,0,6.60
Groningen,Glenn Bijl,86,1,0,0,0,6.60
Excelsior,Arghus,100,0,0,0,0,6.60
Az Alkmaar,Jeremy Helmer,89,0,2,0,0,6.60
Nec Nijmegen,Stefan Mauk,69,0,2,1,0,6.60
Sparta Rotterdam,Stijn Spierings,76,5,31,19,1,6.60
Willem Ii Tilburg,Thomas Kok,57,0,6,0,0,6.60
Ado Den Haag,Hennos Asmelash,80,0,1,0,0,6.60
Go Ahead Eagles,Teije Ten Den,50,0,0,0,0,6.60
Heracles Almelo,Dario Vujicevic,85,0,1,0,0,6.60
Ado Den Haag,Randy Wolters,70,2,20,24,0,6.60
Excelsior,Anouar Hadouir,80,1,6,7,1,6.59
Go Ahead Eagles,Rochdi Achenteh,83,0,30,7,0,6.59
Go Ahead Eagles,Kevin Brands,85,0,6,3,1,6.59
Nec Nijmegen,Ferdi Erenay Kadıoğlu,72,3,16,24,4,6.59
Nec Nijmegen,Janio Bikel,76,0,62,22,0,6.59
Go Ahead Eagles,Sebastien Locigno,80,1,17,12,0,6.59
Fc Twente,Fredrik Jensen,76,2,26,17,4,6.58
Nec Nijmegen,Taiwo Awoniyi,72,0,9,8,2,6.58
Az Alkmaar,Thomas Ouwejan,79,0,6,0,0,6.58
Excelsior,Leeroy Owusu,75,0,3,2,1,6.58
Pec Zwolle,Bart Schenkeveld,80,1,24,12,1,6.58
Sparta Rotterdam,Sherel Floranus,77,0,37,8,0,6.58
Fc Twente,Dejan Trajkovski,68,3,41,6,0,6.58
Ado Den Haag,Guyon Fernandez,72,0,6,3,1,6.58
Excelsior,Danilo Pantić,79,0,6,12,0,6.58
Sparta Rotterdam,Denzel Dumfries,65,1,78,29,1,6.57
Ado Den Haag,Dennis van der Heijden,58,0,4,3,0,6.57
Fc Twente,Jos Hooiveld,67,0,3,0,0,6.57
Roda Jc Kerkrade,Gyliano Van Velzen,73,0,14,16,1,6.57
Nec Nijmegen,Frank Sturing,79,0,5,1,0,6.57
Fc Utrecht,Patrick Joosten,83,0,6,10,1,6.57
Go Ahead Eagles,Elvis Manu,73,2,12,24,2,6.56
Vitesse,Yuning Zhang,71,0,2,2,1,6.56
Excelsior,Terell Ondaan,70,0,16,13,0,6.56
Nec Nijmegen,Arnaut Groeneveld,81,0,2,9,1,6.55
Psv Eindhoven,Menno Koch,83,0,4,0,0,6.55
Feyenoord,Emil Hansson,78,0,1,1,0,6.55
Vitesse,Lassana Faye,75,0,4,1,0,6.55
Go Ahead Eagles,Henrik Ojamaa,68,0,6,4,1,6.55
Roda Jc Kerkrade,Célestin Djim,0,0,0,0,0,6.55
Fc Utrecht,Darren Rosheuvel,92,0,0,0,0,6.55
Roda Jc Kerkrade,Simeon Raykov,73,0,0,0,0,6.55
Groningen,Jesper Drost,71,2,17,11,1,6.55
Excelsior,Kevin Vermeulen,64,5,29,16,2,6.54
Heerenveen,Shay Facey,91,0,0,0,0,6.53
Groningen,Ajdin Hrustic,93,0,1,0,1,6.53
Willem Ii Tilburg,Andreas Calcan,67,0,3,5,0,6.52
Sparta Rotterdam,Paco van Moorsel,66,2,33,13,2,6.51
Willem Ii Tilburg,Asumah Abubakar,76,0,8,6,0,6.51
Nec Nijmegen,Reagy Ofosu,74,0,24,20,2,6.51
Excelsior,Bas Kuipers,74,0,33,6,0,6.50
Az Alkmaar,Calvin Stengs,67,0,2,0,0,6.50
Vitesse,Ali Mukhtar,76,0,1,1,0,6.50
Pec Zwolle,Hervin Ongenda,38,0,2,2,0,6.50
Ajax,Pelle Clement,89,0,1,0,0,6.50
