Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Cagliari,Paolo Faragò,1,0,4,7,21,6.74
Empoli,Manuel Pucciarelli,1,0,6,26,33,6.74
Genoa,Diego Laxalt,5,0,68,42,64,6.74
Milan,Leonel Vangioni,5,0,31,13,23,6.74
Cagliari,Mauricio Isla,9,0,37,40,87,6.74
Sassuolo,Pietro Iemmello,0,0,3,0,1,6.74
Inter,Marco Andreolli,1,0,9,2,8,6.74
Empoli,Massimo Maccarone,2,0,13,2,10,6.74
Palermo,Mato Jajalo,3,1,29,27,38,6.74
Chievoverona,Përparim Hetemaj,1,2,29,24,52,6.73
Juventus,Moise Kean,0,0,0,0,0,6.73
Crotone,Lorenzo Crisetig,4,0,48,46,73,6.73
Pescara,Stefano Pettinari,0,0,2,1,4,6.73
Fiorentina,Ciprian Tătărușanu,0,4,30,0,1,6.73
Bologna,Vasilīs Torosidīs,12,0,68,37,28,6.73
Genoa,Raffaele Palladino,2,0,23,10,36,6.73
Milan,Juraj Kucka,7,0,38,32,53,6.73
Lazio,Alessandro Murgia,1,0,4,10,18,6.73
Empoli,Mame Thiam,1,0,3,2,8,6.73
Bologna,Erick Pulgar,4,1,38,51,56,6.73
Udinese,Andrija Balić,0,0,0,3,6,6.73
Palermo,Slobodan Rajković,3,0,11,7,5,6.73
Chievoverona,Serge Gakpé,0,0,5,3,6,6.73
Chievoverona,Andrea Seculin,0,2,4,0,0,6.73
Bologna,Godfred Donsah,2,0,13,13,11,6.72
Udinese,Stipe Perica,0,0,6,3,14,6.72
Inter,Felipe Melo,0,0,2,4,5,6.72
Palermo,Toni Šunjić,0,0,18,9,7,6.72
Udinese,Panagiotis Kone,1,0,2,3,6,6.72
Empoli,Federico Barba,7,0,52,14,4,6.72
Roma,Thomas Vermaelen,3,0,23,7,7,6.72
Genoa,Goran Pandev,0,0,1,2,8,6.72
Sassuolo,Simone Missiroli,2,0,27,16,17,6.72
Crotone,Noë Dussenne,3,0,42,17,13,6.71
Cagliari,Nicolò Barella,6,1,24,28,57,6.71
Milan,Andrea Bertolacci,0,0,4,7,17,6.71
Chievoverona,Jonathan de Guzmán,1,0,10,12,18,6.71
Genoa,Santiago Gentiletti,11,0,55,25,20,6.71
Genoa,Darko Lazović,1,0,21,34,43,6.71
Sassuolo,Alfred Duncan,4,0,21,10,40,6.70
Milan,M'Baye Niang,2,0,12,3,11,6.70
Milan,Mario Pašalić,6,0,15,20,23,6.70
Genoa,Pietro Pellegri,0,0,0,1,0,6.70
Atalanta,Bryan Cabezas,0,0,0,0,2,6.70
Genoa,Andrea Beghetto,1,0,4,2,3,6.70
Lazio,Luca Crecco,1,0,0,1,0,6.70
Cagliari,Roberto Biancu,0,0,0,0,1,6.70
Sassuolo,Emanuele Terranova,3,0,12,4,2,6.70
Pescara,Alessandro Bruno,0,0,11,15,32,6.70
Genoa,Olivier Ntcham,0,1,6,8,23,6.70
Cagliari,Nicola Murru,8,0,62,45,54,6.70
Crotone,Bruno Martella,6,2,85,54,39,6.69
Genoa,Oscar Hiljemark,2,0,17,18,24,6.69
Lazio,Wallace,10,1,119,39,26,6.69
Crotone,Boadu Maxwell Acosty,0,0,2,5,6,6.69
Crotone,Djamel Mesbah,5,0,22,9,13,6.69
Inter,Yuto Nagatomo,5,1,22,20,27,6.69
Inter,Rodrigo Palacio,0,0,2,2,10,6.69
Empoli,José Mauri,0,0,5,12,35,6.69
Cagliari,Senna Miangue,1,0,8,6,7,6.69
Lazio,Dušan Basta,6,0,32,31,35,6.69
Crotone,Andrea Barberis,7,0,33,31,63,6.68
Sampdoria,Ante Budimir,0,0,1,0,7,6.68
Bologna,Sergio Floccari,0,0,4,1,6,6.68
Udinese,Davide Faraoni,0,0,10,9,15,6.68
Bologna,Marios Oikonomou,15,0,78,38,20,6.68
Bologna,Ádám Nagy,3,0,13,26,31,6.68
Juventus,Stephan Lichtsteiner,5,0,37,17,28,6.67
Sassuolo,Alessandro Matri,3,0,12,6,1,6.67
Torino,Joe Hart,0,5,40,5,1,6.67
Pescara,Cristiano Biraghi,8,0,100,42,79,6.67
Udinese,Emmanuel Badu,7,0,20,40,28,6.67
