Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
1 Fsv Mainz 05,Gerit Holtmann,2,0,1,4,2,6.63
Borussia Mgladbach,Michaël Cuisance,0,0,4,5,11,6.62
Bayer 04 Leverkusen,Isaac Thelin,0,0,4,0,2,6.62
1 Fc Nurnberg,Yuya Kubo,0,0,2,10,21,6.61
Augsburg,Julian Schieber,0,0,3,1,3,6.61
Freiburg,Lucas Höler,1,2,13,3,18,6.61
Vfb Stuttgart,Alexander Esswein,0,0,13,12,17,6.61
Bayern Munchen,Sven Ulreich,0,0,3,0,0,6.61
Fc Schalke 04,Hamza Mendyl,2,0,6,8,17,6.61
1899 Hoffenheim,Kasim Adams,5,0,42,23,19,6.61
Fortuna Dusseldorf,Alfredo Morales,9,0,28,24,32,6.60
Fc Schalke 04,Guido Burgstaller,0,0,10,2,11,6.60
Werder Bremen,Stefanos Kapino,0,0,0,0,0,6.60
Hertha Bsc,Peter Pekarík,1,0,5,1,2,6.60
1 Fsv Mainz 05,Issah Abass,0,0,0,0,0,6.60
Eintracht Frankfurt,Danny Blum,0,0,5,0,0,6.60
Fortuna Dusseldorf,Oliver Fink,3,0,19,13,38,6.59
1 Fc Nurnberg,Törles Knöll,1,0,2,0,3,6.59
1 Fc Nurnberg,Eduard Löwen,2,0,17,8,30,6.59
Vfb Stuttgart,Holger Badstuber,2,1,20,9,12,6.59
1 Fc Nurnberg,Alexander Fuchs,1,0,8,5,14,6.59
Bayern Munchen,Manuel Neuer,0,2,10,0,1,6.59
Augsburg,Jan Morávek,1,0,13,9,38,6.58
Bayern Munchen,Sandro Wagner,0,0,2,0,3,6.58
Borussia Mgladbach,Fabian Johnson,3,0,13,10,13,6.58
Augsburg,Georg Teigl,0,0,4,7,5,6.58
Freiburg,Roland Sallai,0,0,7,3,12,6.58
Eintracht Frankfurt,Marco Russ,2,0,8,7,7,6.58
Eintracht Frankfurt,Allan,2,0,1,0,4,6.58
Hannover 96,Bobby Wood,0,0,6,4,13,6.58
1 Fc Nurnberg,Hanno Behrens,13,0,45,33,46,6.57
